Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
23.1,91.3,68.6,Clayey,Paddy,102,214,121,17-17-17
12.0,85.0,58.1,Black,Barley,257,191,293,17-17-17
44.7,66.3,58.9,Clayey,Coffee,48,169,58,Urea
11.6,93.0,28.6,Black,Coffee,54,130,243,17-17-17
40.1,71.0,46.0,Loamy,Tobacco,88,241,13,DAP
23.5,21.2,28.5,Red,Tomato,263,205,34,17-17-17
23.7,33.7,70.4,Loamy,Tobacco,190,43,217,17-17-17
42.9,87.1,57.8,Red,Oil seeds,189,212,295,17-17-17
23.6,40.4,76.3,Loamy,Oil seeds,251,40,187,17-17-17
20.4,32.4,11.3,Sandy,Millets,128,62,135,17-17-17
38.5,73.0,68.3,Sandy,Ground Nuts,260,40,230,17-17-17
42.0,83.8,46.0,Sandy,Potato,61,292,215,17-17-17
35.5,67.8,81.0,Sandy,Cotton,100,256,130,28-28
35.3,37.7,30.5,Black,Oil seeds,206,41,14,DAP
25.4,35.1,81.7,Sandy,Tobacco,95,230,221,17-17-17
24.4,76.7,28.3,Black,Cotton,85,65,283,28-28
31.9,42.2,18.4,Red,Coffee,107,285,43,17-17-17
40.9,44.3,19.8,Sandy,Wheat,189,282,224,17-17-17
24.9,81.4,78.9,Black,Oil seeds,164,233,224,17-17-17
21.8,90.7,35.9,Sandy,Tobacco,112,267,51,17-17-17
18.8,57.3,34.1,Sandy,Millets,80,112,186,17-17-17
44.2,50.8,12.6,Sandy,Maize,125,52,129,28-28
27.1,93.9,29.4,Red,Wheat,202,122,183,17-17-17
18.5,80.2,47.6,Loamy,Barley,239,96,143,17-17-17
15.3,58.1,65.7,Black,Tobacco,251,147,146,17-17-17
32.6,33.1,65.3,Loamy,Millets,128,150,266,17-17-17
29.0,72.2,28.3,Loamy,Potato,59,253,1,DAP
41.4,87.5,60.6,Sandy,Oil seeds,98,207,146,17-17-17
41.4,86.5,72.4,Red,Ground Nuts,112,253,103,17-17-17
10.3,27.6,63.1,Clayey,Sugarcane,193,207,162,17-17-17
44.8,33.2,11.4,Clayey,Potato,134,127,194,17-17-17
29.9,27.0,39.4,Clayey,Cotton,263,26,282,28-28
37.8,57.7,56.2,Sandy,Paddy,146,34,3,DAP
36.9,23.3,89.6,Clayey,Banana,5,232,98,Urea
43.4,44.8,54.2,Black,Coffee,115,252,190,17-17-17
23.5,83.8,35.4,Loamy,Oil seeds,222,57,53,17-17-17
42.6,25.3,26.7,Loamy,Tomato,154,103,272,17-17-17
34.4,72.7,38.8,Clayey,Pulses,246,12,25,10-26-26
12.9,20.4,60.2,Red,Maize,263,142,141,28-28
23.1,27.0,56.3,Black,Oil seeds,185,189,62,17-17-17
20.0,64.3,12.4,Red,Pulses,270,100,53,17-17-17
28.3,77.7,27.3,Clayey,Wheat,195,46,261,17-17-17
34.5,30.4,20.6,Loamy,Coffee,105,146,157,17-17-17
37.8,40.3,45.1,Loamy,Paddy,116,126,278,17-17-17
34.4,50.7,23.9,Sandy,Tomato,289,125,95,17-17-17
13.3,33.7,84.8,Sandy,Potato,188,68,191,17-17-17
31.4,51.5,29.8,Black,Paddy,85,284,184,17-17-17
14.1,23.5,13.3,Red,Paddy,203,38,217,17-17-17
22.1,54.9,62.0,Loamy,Pulses,245,289,99,17-17-17
19.1,21.1,84.7,Sandy,Millets,3,279,15,28-28
43.0,90.8,79.4,Black,Tobacco,151,162,177,17-17-17
32.5,54.4,53.6,Clayey,Coffee,64,42,167,17-17-17
16.9,25.2,18.1,Loamy,Mango,241,214,34,17-17-17
12.5,43.9,77.6,Loamy,Banana,114,195,104,17-17-17
34.3,46.1,84.9,Red,Oil seeds,276,163,248,17-17-17
16.2,76.3,74.5,Sandy,Cotton,35,151,95,Urea
40.3,62.1,29.1,Clayey,Wheat,216,272,285,17-17-17
28.7,57.2,41.2,Clayey,Ground Nuts,18,99,176,Urea
10.4,87.9,17.3,Red,Banana,222,143,51,17-17-17
25.7,42.0,36.3,Black,Paddy,52,143,150,17-17-17
37.6,26.8,49.6,Loamy,Paddy,162,220,214,17-17-17
22.3,28.8,21.4,Loamy,Pulses,252,6,229,10-26-26
24.9,36.7,41.7,Black,Pulses,193,28,4,DAP
13.0,94.0,39.9,Sandy,Barley,144,300,216,17-17-17
36.4,48.2,16.7,Clayey,Coffee,181,90,166,17-17-17
18.7,44.8,44.8,Clayey,Mango,241,125,219,17-17-17
12.0,28.9,19.4,Sandy,Wheat,0,190,189,Urea
26.7,26.2,52.3,Clayey,Barley,57,172,43,17-17-17
43.9,23.2,81.3,Clayey,Ground Nuts,251,163,228,17-17-17
29.4,92.7,51.8,Sandy,Maize,13,0,142,28-28
32.0,63.8,82.1,Sandy,Ground Nuts,11,271,223,Urea
41.2,54.2,59.6,Loamy,Coffee,163,135,89,17-17-17
22.4,63.8,16.2,Sandy,Tobacco,191,200,144,17-17-17
20.8,81.0,64.8,Clayey,Mango,45,252,34,Urea
42.9,51.2,56.5,Sandy,Sugarcane,9,241,285,Urea
29.3,32.4,42.9,Sandy,Sugarcane,223,176,238,17-17-17
23.2,76.2,41.4,Black,Ground Nuts,176,104,97,17-17-17
24.5,40.5,14.5,Red,Maize,196,258,132,28-28
29.4,77.7,85.6,Loamy,Cotton,144,77,84,28-28
17.2,38.9,32.0,Red,Banana,287,94,33,17-17-17
14.0,70.4,51.6,Black,Ground Nuts,267,235,53,17-17-17
29.6,85.7,42.3,Clayey,Paddy,65,102,74,17-17-17
14.8,21.1,38.0,Loamy,Sugarcane,285,165,248,17-17-17
25.8,88.3,33.8,Loamy,Cotton,80,284,132,28-28
15.1,89.5,49.4,Red,Tobacco,68,261,33,17-17-17
27.2,44.7,60.7,Black,Cotton,110,150,248,28-28
14.5,31.4,21.1,Red,Millets,183,194,280,17-17-17
40.6,58.6,87.8,Clayey,Pulses,50,4,276,10-26-26
22.1,46.1,12.5,Sandy,Paddy,232,45,11,DAP
22.7,57.8,65.2,Sandy,Pulses,248,120,46,17-17-17
34.1,58.4,22.6,Clayey,Maize,25,256,291,Urea
13.0,64.8,88.9,Loamy,Coffee,77,153,215,17-17-17
11.3,38.9,67.1,Black,Tomato,273,226,293,17-17-17
23.9,27.9,69.0,Red,Pulses,38,230,272,Urea
13.1,60.2,28.7,Clayey,Tobacco,24,66,67,Urea
32.7,56.0,56.7,Loamy,Tomato,263,82,235,17-17-17
23.3,45.3,82.0,Loamy,Ground Nuts,228,149,288,17-17-17
17.9,47.4,49.0,Black,Banana,94,136,151,17-17-17
12.8,59.3,42.8,Red,Millets,222,219,5,DAP
42.1,20.4,88.0,Black,Banana,193,25,202,17-17-17
19.8,77.7,25.0,Red,Cotton,211,19,224,10-26-26
18.5,28.6,58.8,Clayey,Banana,138,160,258,17-17-17
22.9,54.1,53.9,Loamy,Coffee,12,129,167,Urea
13.1,30.4,10.2,Sandy,Ground Nuts,37,94,93,Urea
42.5,82.3,87.2,Clayey,Millets,136,34,75,17-17-17
42.4,74.1,13.8,Clayey,Millets,266,269,228,17-17-17
38.0,81.9,24.9,Black,Ground Nuts,77,131,61,17-17-17
21.1,64.1,64.6,Black,Mango,22,142,62,Urea
30.2,46.7,41.3,Loamy,Banana,103,38,103,17-17-17
14.1,90.5,60.2,Loamy,Potato,14,156,110,Urea
27.3,75.6,55.9,Clayey,Barley,96,253,288,17-17-17
17.2,73.6,49.5,Loamy,Maize,117,158,293,28-28
23.3,54.3,58.3,Clayey,Millets,260,46,156,17-17-17
24.3,77.9,11.0,Black,Cotton,291,298,281,28-28
31.0,82.0,86.7,Loamy,Banana,217,103,140,17-17-17
27.7,65.9,11.4,Red,Ground Nuts,132,126,292,17-17-17
15.3,63.2,58.5,Black,Mango,295,213,296,17-17-17
41.9,29.2,28.9,Loamy,Banana,181,54,0,DAP
18.0,65.6,40.3,Clayey,Oil seeds,201,153,116,17-17-17
21.7,49.9,53.0,Black,Barley,209,127,16,DAP
17.9,53.9,21.3,Sandy,Wheat,179,160,197,17-17-17
22.7,63.5,60.6,Red,Sugarcane,48,176,83,Urea
29.5,84.5,52.8,Sandy,Wheat,256,140,223,17-17-17
23.9,52.0,74.0,Clayey,Maize,285,18,143,10-26-26
12.3,78.2,46.3,Loamy,Barley,112,221,113,17-17-17
29.6,31.6,24.6,Clayey,Wheat,130,265,287,17-17-17
19.5,68.3,42.7,Red,Potato,177,246,7,DAP
18.9,34.7,50.4,Sandy,Tomato,228,50,66,17-17-17
32.8,37.9,18.0,Black,Potato,164,222,181,17-17-17
21.3,26.5,60.7,Sandy,Wheat,84,111,146,17-17-17
16.4,63.7,43.7,Loamy,Maize,196,233,10,DAP
38.9,47.2,12.7,Red,Paddy,292,221,255,17-17-17
22.7,84.6,27.6,Loamy,Barley,279,201,80,17-17-17
29.8,93.9,47.7,Sandy,Sugarcane,114,13,208,20-20
36.0,72.4,42.2,Sandy,Barley,277,3,234,10-26-26
14.6,87.5,65.3,Clayey,Ground Nuts,145,41,127,17-17-17
30.2,40.6,54.3,Sandy,Barley,75,116,86,17-17-17
